HourUTC,PriceArea,product,amount,PriceDKK,PriceEUR
2019-05-07T18:00:00+00:00,SYSTEM,Elspot,1,342.25,45.84
2019-05-07T18:00:00+00:00,SE4,Elspot,1,336.35,45.05
2019-05-07T18:00:00+00:00,SE3,Elspot,1,336.35,45.05
2019-05-07T18:00:00+00:00,NO2,Elspot,1,336.35,45.05
2019-05-07T18:00:00+00:00,DK2,Elspot,1,512.26,68.61
2019-05-07T18:00:00+00:00,DK1,Elspot,1,454.32,60.85
2019-05-07T18:00:00+00:00,DE,Elspot,1,512.26,68.61
2019-05-07T17:00:00+00:00,SYSTEM,Elspot,1,339.86,45.52
2019-05-07T17:00:00+00:00,SE4,Elspot,1,336.5,45.07
2019-05-07T17:00:00+00:00,SE3,Elspot,1,336.5,45.07
2019-05-07T17:00:00+00:00,NO2,Elspot,1,336.5,45.07
2019-05-07T17:00:00+00:00,DK2,Elspot,1,485.23,64.99
2019-05-07T17:00:00+00:00,DK1,Elspot,1,365.4,48.94
2019-05-07T17:00:00+00:00,DE,Elspot,1,485.23,64.99
2019-05-07T16:00:00+00:00,SYSTEM,Elspot,1,335.83,44.98
2019-05-07T16:00:00+00:00,SE4,Elspot,1,333.52,44.67
2019-05-07T16:00:00+00:00,SE3,Elspot,1,333.52,44.67
2019-05-07T16:00:00+00:00,NO2,Elspot,1,333.52,44.67
2019-05-07T16:00:00+00:00,DK2,Elspot,1,428.93,57.45
2019-05-07T16:00:00+00:00,DK1,Elspot,1,333.52,44.67
2019-05-07T16:00:00+00:00,DE,Elspot,1,428.93,57.45
2019-05-07T15:00:00+00:00,SYSTEM,Elspot,1,328.14,43.95
2019-05-07T15:00:00+00:00,SE4,Elspot,1,328.06,43.94
2019-05-07T15:00:00+00:00,SE3,Elspot,1,328.06,43.94
2019-05-07T15:00:00+00:00,NO2,Elspot,1,328.06,43.94
2019-05-07T15:00:00+00:00,DK2,Elspot,1,365.4,48.94
2019-05-07T15:00:00+00:00,DK1,Elspot,1,328.06,43.94
2019-05-07T15:00:00+00:00,DE,Elspot,1,365.4,48.94
2019-05-07T14:00:00+00:00,SYSTEM,Elspot,1,323.14,43.28
2019-05-07T14:00:00+00:00,SE4,Elspot,1,323.14,43.28
2019-05-07T14:00:00+00:00,SE3,Elspot,1,323.14,43.28
2019-05-07T14:00:00+00:00,NO2,Elspot,1,323.14,43.28
2019-05-07T14:00:00+00:00,DK2,Elspot,1,351.66,47.1
2019-05-07T14:00:00+00:00,DK1,Elspot,1,323.14,43.28
2019-05-07T14:00:00+00:00,DE,Elspot,1,351.66,47.1
2019-05-07T13:00:00+00:00,SYSTEM,Elspot,1,323.36,43.31
2019-05-07T13:00:00+00:00,SE4,Elspot,1,323.36,43.31
2019-05-07T13:00:00+00:00,SE3,Elspot,1,323.36,43.31
2019-05-07T13:00:00+00:00,NO2,Elspot,1,323.36,43.31
2019-05-07T13:00:00+00:00,DK2,Elspot,1,349.19,46.77
2019-05-07T13:00:00+00:00,DK1,Elspot,1,323.36,43.31
2019-05-07T13:00:00+00:00,DE,Elspot,1,349.19,46.77
2019-05-07T12:00:00+00:00,SYSTEM,Elspot,1,326.5,43.73
2019-05-07T12:00:00+00:00,SE4,Elspot,1,326.87,43.78
2019-05-07T12:00:00+00:00,SE3,Elspot,1,326.87,43.78
2019-05-07T12:00:00+00:00,NO2,Elspot,1,326.87,43.78
2019-05-07T12:00:00+00:00,DK2,Elspot,1,358.38,48
2019-05-07T12:00:00+00:00,DK1,Elspot,1,326.87,43.78
2019-05-07T12:00:00+00:00,DE,Elspot,1,358.38,48
2019-05-07T11:00:00+00:00,SYSTEM,Elspot,1,332.25,44.5
2019-05-07T11:00:00+00:00,SE4,Elspot,1,331.72,44.43
2019-05-07T11:00:00+00:00,SE3,Elspot,1,331.72,44.43
2019-05-07T11:00:00+00:00,NO2,Elspot,1,328.74,44.03
2019-05-07T11:00:00+00:00,DK2,Elspot,1,365.4,48.94
2019-05-07T11:00:00+00:00,DK1,Elspot,1,328.74,44.03
2019-05-07T11:00:00+00:00,DE,Elspot,1,365.4,48.94
2019-05-07T10:00:00+00:00,SYSTEM,Elspot,1,335.31,44.91
2019-05-07T10:00:00+00:00,SE4,Elspot,1,334.64,44.82
2019-05-07T10:00:00+00:00,SE3,Elspot,1,334.64,44.82
2019-05-07T10:00:00+00:00,NO2,Elspot,1,331.65,44.42
2019-05-07T10:00:00+00:00,DK2,Elspot,1,355.47,47.61
2019-05-07T10:00:00+00:00,DK1,Elspot,1,331.65,44.42
2019-05-07T10:00:00+00:00,DE,Elspot,1,355.47,47.61
2019-05-07T09:00:00+00:00,SYSTEM,Elspot,1,338.14,45.29
2019-05-07T09:00:00+00:00,SE4,Elspot,1,339.04,45.41
2019-05-07T09:00:00+00:00,SE3,Elspot,1,339.04,45.41
2019-05-07T09:00:00+00:00,NO2,Elspot,1,332.25,44.5
2019-05-07T09:00:00+00:00,DK2,Elspot,1,382.27,51.2
2019-05-07T09:00:00+00:00,DK1,Elspot,1,332.25,44.5
2019-05-07T09:00:00+00:00,DE,Elspot,1,382.27,51.2
2019-05-07T08:00:00+00:00,SYSTEM,Elspot,1,342.77,45.91
