HourUTC,product,amount,PriceArea,PriceDKK,PriceEUR
2019-05-04T00:00:00+00:00,aFRR_UpActivated,62.8,DK1,365.44,48.95
2019-05-03T23:00:00+00:00,aFRR_DownActivated,75.9,DK1,174.55,23.38
2019-05-03T23:00:00+00:00,aFRR_UpActivated,10.5,DK1,374.47,50.16
2019-05-03T22:00:00+00:00,aFRR_DownActivated,99.9,DK1,196.57,26.33
2019-05-03T22:00:00+00:00,aFRR_UpActivated,0,DK1,396.5,53.11
2019-05-03T21:00:00+00:00,aFRR_DownActivated,99.3,DK1,211.27,28.3
2019-05-03T21:00:00+00:00,aFRR_UpActivated,0,DK1,411.33,55.1
2019-05-03T20:00:00+00:00,aFRR_DownActivated,15.7,DK1,215.67,28.89
2019-05-03T20:00:00+00:00,aFRR_UpActivated,29,DK1,415.74,55.69
2019-05-03T19:00:00+00:00,aFRR_DownActivated,29.7,DK1,216.34,28.98
2019-05-03T19:00:00+00:00,aFRR_UpActivated,9.7,DK1,416.41,55.78
2019-05-03T18:00:00+00:00,aFRR_DownActivated,100,DK1,215.67,28.89
2019-05-03T18:00:00+00:00,aFRR_UpActivated,0,DK1,415.74,55.69
2019-05-03T17:00:00+00:00,aFRR_DownActivated,99.3,DK1,228.14,30.56
2019-05-03T17:00:00+00:00,aFRR_UpActivated,0,DK1,428.2,57.36
2019-05-03T16:00:00+00:00,aFRR_DownActivated,53.8,DK1,213.58,28.61
2019-05-03T16:00:00+00:00,aFRR_UpActivated,0.4,DK1,413.65,55.41
2019-05-03T15:00:00+00:00,aFRR_DownActivated,72,DK1,190.29,25.49
2019-05-03T15:00:00+00:00,aFRR_UpActivated,3,DK1,390.36,52.29
2019-05-03T14:00:00+00:00,aFRR_DownActivated,90,DK1,-48,-6.43
2019-05-03T14:00:00+00:00,aFRR_UpActivated,0,DK1,364.82,48.87
2019-05-03T13:00:00+00:00,aFRR_DownActivated,23.1,DK1,-25.01,-3.35
2019-05-03T13:00:00+00:00,aFRR_UpActivated,0.9,DK1,365.87,49.01
2019-05-03T12:00:00+00:00,aFRR_DownActivated,30,DK1,-25.01,-3.35
2019-05-03T12:00:00+00:00,aFRR_UpActivated,8.1,DK1,373.71,50.06
2019-05-03T11:00:00+00:00,aFRR_DownActivated,13,DK1,197.38,26.44
2019-05-03T11:00:00+00:00,aFRR_UpActivated,3.7,DK1,397.45,53.24
2019-05-03T10:00:00+00:00,aFRR_DownActivated,53.4,DK1,211.94,28.39
2019-05-03T10:00:00+00:00,aFRR_UpActivated,5.7,DK1,412,55.19
2019-05-03T09:00:00+00:00,aFRR_DownActivated,75.2,DK1,212.98,28.53
2019-05-03T09:00:00+00:00,aFRR_UpActivated,0.1,DK1,413.05,55.33
2019-05-03T08:00:00+00:00,aFRR_DownActivated,6.8,DK1,216.71,29.03
2019-05-03T08:00:00+00:00,aFRR_UpActivated,56.8,DK1,416.78,55.83
2019-05-03T07:00:00+00:00,aFRR_DownActivated,56,DK1,218.95,29.33
2019-05-03T07:00:00+00:00,aFRR_UpActivated,2.6,DK1,419.02,56.13
2019-05-03T06:00:00+00:00,aFRR_DownActivated,18.7,DK1,221.34,29.65
2019-05-03T06:00:00+00:00,aFRR_UpActivated,54,DK1,421.41,56.45
2019-05-03T05:00:00+00:00,aFRR_DownActivated,17.8,DK1,250.76,33.59
2019-05-03T05:00:00+00:00,aFRR_UpActivated,55.1,DK1,450.82,60.39
2019-05-03T04:00:00+00:00,aFRR_DownActivated,7,DK1,213.13,28.55
2019-05-03T04:00:00+00:00,aFRR_UpActivated,73.2,DK1,413.2,55.35
2019-05-03T03:00:00+00:00,aFRR_DownActivated,88.2,DK1,168.41,22.56
2019-05-03T03:00:00+00:00,aFRR_UpActivated,0.6,DK1,368.48,49.36
2019-05-03T02:00:00+00:00,aFRR_DownActivated,12,DK1,147.06,19.7
2019-05-03T02:00:00+00:00,aFRR_UpActivated,63.3,DK1,347.13,46.5
2019-05-03T01:00:00+00:00,aFRR_DownActivated,72,DK1,142.44,19.08
2019-05-03T01:00:00+00:00,aFRR_UpActivated,0,DK1,342.5,45.88
2019-05-03T00:00:00+00:00,aFRR_DownActivated,38.8,DK1,150.8,20.2
2019-05-03T00:00:00+00:00,aFRR_UpActivated,50.4,DK1,350.86,47
2019-05-02T23:00:00+00:00,aFRR_DownActivated,5.1,DK1,160.5,21.5
2019-05-02T23:00:00+00:00,aFRR_UpActivated,23.1,DK1,360.57,48.3
2019-05-02T22:00:00+00:00,aFRR_DownActivated,52.1,DK1,148.48,19.89
2019-05-02T22:00:00+00:00,aFRR_UpActivated,0,DK1,348.55,46.69
2019-05-02T21:00:00+00:00,aFRR_DownActivated,92.6,DK1,201.33,26.97
2019-05-02T21:00:00+00:00,aFRR_UpActivated,0.4,DK1,401.39,53.77
2019-05-02T20:00:00+00:00,aFRR_DownActivated,32.2,DK1,206.86,27.71
2019-05-02T20:00:00+00:00,aFRR_UpActivated,7,DK1,406.92,54.51
2019-05-02T19:00:00+00:00,aFRR_DownActivated,57.1,DK1,211.33,28.31
2019-05-02T19:00:00+00:00,aFRR_UpActivated,1.2,DK1,411.4,55.11
2019-05-02T18:00:00+00:00,aFRR_DownActivated,25.1,DK1,209.62,28.08
2019-05-02T18:00:00+00:00,aFRR_UpActivated,0.5,DK1,409.68,54.88
2019-05-02T17:00:00+00:00,aFRR_DownActivated,65.8,DK1,203.57,27.27
2019-05-02T17:00:00+00:00,aFRR_UpActivated,0.6,DK1,403.63,54.07
2019-05-02T16:00:00+00:00,aFRR_DownActivated,2.8,DK1,199.09,26.67
2019-05-02T16:00:00+00:00,aFRR_UpActivated,89.7,DK1,399.15,53.47
2019-05-02T15:00:00+00:00,aFRR_DownActivated,40.3,DK1,197.45,26.45
2019-05-02T15:00:00+00:00,aFRR_UpActivated,16,DK1,397.51,53.25
2019-05-02T14:00:00+00:00,aFRR_DownActivated,0,DK1,179.76,24.08
2019-05-02T14:00:00+00:00,aFRR_UpActivated,89.1,DK1,379.82,50.88
2019-05-02T13:00:00+00:00,aFRR_DownActivated,0.1,DK1,176.17,23.6
2019-05-02T13:00:00+00:00,aFRR_UpActivated,51.4,DK1,376.24,50.4
2019-05-02T12:00:00+00:00,aFRR_DownActivated,1.1,DK1,156.17,20.92
2019-05-02T12:00:00+00:00,aFRR_UpActivated,13.3,DK1,356.23,47.72
2019-05-02T11:00:00+00:00,aFRR_DownActivated,4.4,DK1,138.1,18.5
2019-05-02T11:00:00+00:00,aFRR_UpActivated,33.2,DK1,338.16,45.3
2019-05-02T10:00:00+00:00,aFRR_DownActivated,0.1,DK1,134.52,18.02
2019-05-02T10:00:00+00:00,aFRR_UpActivated,67.8,DK1,334.58,44.82
2019-05-02T09:00:00+00:00,aFRR_DownActivated,0.4,DK1,178.56,23.92
2019-05-02T09:00:00+00:00,aFRR_UpActivated,48.1,DK1,378.62,50.72
2019-05-02T08:00:00+00:00,aFRR_DownActivated,3.8,DK1,196.33,26.3
2019-05-02T08:00:00+00:00,aFRR_UpActivated,16.1,DK1,396.39,53.1
2019-05-02T07:00:00+00:00,aFRR_DownActivated,52.5,DK1,204.99,27.46
2019-05-02T07:00:00+00:00,aFRR_UpActivated,0,DK1,405.05,54.26
2019-05-02T06:00:00+00:00,aFRR_DownActivated,100,DK1,207.6,27.81
2019-05-02T06:00:00+00:00,aFRR_UpActivated,0,DK1,407.66,54.61
2019-05-02T05:00:00+00:00,aFRR_DownActivated,96.9,DK1,200.51,26.86
2019-05-02T05:00:00+00:00,aFRR_UpActivated,0,DK1,400.57,53.66
2019-05-02T04:00:00+00:00,aFRR_DownActivated,22.4,DK1,207.6,27.81
2019-05-02T04:00:00+00:00,aFRR_UpActivated,20.1,DK1,407.66,54.61
2019-05-02T03:00:00+00:00,aFRR_DownActivated,86.9,DK1,-49.72,-6.66
2019-05-02T03:00:00+00:00,aFRR_UpActivated,0,DK1,150.35,20.14
2019-05-02T02:00:00+00:00,aFRR_DownActivated,34.5,DK1,-79.65,-10.67
2019-05-02T02:00:00+00:00,aFRR_UpActivated,17.9,DK1,120.41,16.13
2019-05-02T01:00:00+00:00,aFRR_DownActivated,99.8,DK1,-96.52,-12.93
2019-05-02T01:00:00+00:00,aFRR_UpActivated,0,DK1,103.54,13.87
2019-05-02T00:00:00+00:00,aFRR_DownActivated,99.9,DK1,-62.63,-8.39
2019-05-02T00:00:00+00:00,aFRR_UpActivated,0,DK1,137.43,18.41
2019-05-01T23:00:00+00:00,aFRR_DownActivated,97.3,DK1,-62.26,-8.34
2019-05-01T23:00:00+00:00,aFRR_UpActivated,0,DK1,137.8,18.46
2019-05-01T22:00:00+00:00,aFRR_DownActivated,53,DK1,-2.69,-0.36
2019-05-01T22:00:00+00:00,aFRR_UpActivated,0,DK1,197.37,26.44
2019-05-01T21:00:00+00:00,aFRR_DownActivated,4.4,DK1,-4.63,-0.62
2019-05-01T21:00:00+00:00,aFRR_UpActivated,24.9,DK1,195.42,26.18
2019-05-01T20:00:00+00:00,aFRR_DownActivated,90,DK1,151.38,20.28
2019-05-01T20:00:00+00:00,aFRR_UpActivated,0,DK1,351.43,47.08
2019-05-01T19:00:00+00:00,aFRR_DownActivated,87.2,DK1,147.8,19.8
2019-05-01T19:00:00+00:00,aFRR_UpActivated,0,DK1,347.85,46.6
2019-05-01T18:00:00+00:00,aFRR_DownActivated,46.1,DK1,178.03,23.85
2019-05-01T18:00:00+00:00,aFRR_UpActivated,5.6,DK1,378.08,50.65
2019-05-01T17:00:00+00:00,aFRR_DownActivated,0,DK1,157.58,21.11
2019-05-01T17:00:00+00:00,aFRR_UpActivated,52.5,DK1,357.63,47.91
2019-05-01T16:00:00+00:00,aFRR_DownActivated,0,DK1,-65.39,-8.76
2019-05-01T16:00:00+00:00,aFRR_UpActivated,72.9,DK1,321.35,43.05
2019-05-01T15:00:00+00:00,aFRR_DownActivated,8.1,DK1,-72.03,-9.65
2019-05-01T15:00:00+00:00,aFRR_UpActivated,26.1,DK1,246.41,33.01
2019-05-01T14:00:00+00:00,aFRR_DownActivated,52.4,DK1,-85.25,-11.42
2019-05-01T14:00:00+00:00,aFRR_UpActivated,0.1,DK1,114.81,15.38
2019-05-01T13:00:00+00:00,aFRR_DownActivated,86.2,DK1,-121.08,-16.22
2019-05-01T13:00:00+00:00,aFRR_UpActivated,0,DK1,186.62,25
2019-05-01T12:00:00+00:00,aFRR_DownActivated,3.4,DK1,-118.39,-15.86
2019-05-01T12:00:00+00:00,aFRR_UpActivated,50.7,DK1,149.29,20
2019-05-01T11:00:00+00:00,aFRR_DownActivated,3.1,DK1,-63.45,-8.5
2019-05-01T11:00:00+00:00,aFRR_UpActivated,7.4,DK1,335.91,45
2019-05-01T10:00:00+00:00,aFRR_DownActivated,6.1,DK1,57.63,7.72
2019-05-01T10:00:00+00:00,aFRR_UpActivated,32.1,DK1,343.37,46
2019-05-01T09:00:00+00:00,aFRR_DownActivated,9.2,DK1,113.84,15.25
2019-05-01T09:00:00+00:00,aFRR_UpActivated,1.2,DK1,343.37,46
2019-05-01T08:00:00+00:00,aFRR_DownActivated,0.4,DK1,115.55,15.48
2019-05-01T08:00:00+00:00,aFRR_UpActivated,76.5,DK1,339.56,45.49
2019-05-01T07:00:00+00:00,aFRR_DownActivated,48.7,DK1,119.43,16
