id,Timestamp,Area,Product,Amount,Price_DKK,Price_EUR
275,2019-04-22T06:00:00+00:00,DK1,aFRR_DownActivated,0,204.56,27.4
276,2019-04-22T06:00:00+00:00,DK1,aFRR_UpActivated,100,404.49,54.18
277,2019-04-22T05:00:00+00:00,DK1,aFRR_DownActivated,0,134.38,18
278,2019-04-22T05:00:00+00:00,DK1,aFRR_UpActivated,94.7,393.29,52.68
279,2019-04-22T04:00:00+00:00,DK1,aFRR_DownActivated,9.5,123.18,16.5
280,2019-04-22T04:00:00+00:00,DK1,aFRR_UpActivated,44.3,374.77,50.2
281,2019-04-22T03:00:00+00:00,DK1,aFRR_DownActivated,55.4,123.18,16.5
282,2019-04-22T03:00:00+00:00,DK1,aFRR_UpActivated,11.7,334.46,44.8
283,2019-04-22T02:00:00+00:00,DK1,aFRR_DownActivated,34.1,123.18,16.5
284,2019-04-22T02:00:00+00:00,DK1,aFRR_UpActivated,17.7,324.08,43.41
285,2019-04-22T01:00:00+00:00,DK1,aFRR_DownActivated,9.5,123.18,16.5
286,2019-04-22T01:00:00+00:00,DK1,aFRR_UpActivated,12.2,324.38,43.45
287,2019-04-22T00:00:00+00:00,DK1,aFRR_DownActivated,18,123.18,16.5
288,2019-04-22T00:00:00+00:00,DK1,aFRR_UpActivated,1.3,324.31,43.44
289,2019-04-21T23:00:00+00:00,DK1,aFRR_DownActivated,27.9,123.18,16.5
290,2019-04-21T23:00:00+00:00,DK1,aFRR_UpActivated,7.7,324.53,43.47
291,2019-04-21T22:00:00+00:00,DK1,aFRR_DownActivated,14.9,116.61,15.62
292,2019-04-21T22:00:00+00:00,DK1,aFRR_UpActivated,10.2,361.41,48.41
293,2019-04-21T21:00:00+00:00,DK1,aFRR_DownActivated,71.6,186.27,24.95
294,2019-04-21T21:00:00+00:00,DK1,aFRR_UpActivated,0,386.2,51.73
295,2019-04-21T20:00:00+00:00,DK1,aFRR_DownActivated,38.3,208.96,27.99
296,2019-04-21T20:00:00+00:00,DK1,aFRR_UpActivated,1.7,408.89,54.77
297,2019-04-21T19:00:00+00:00,DK1,aFRR_DownActivated,34.8,229.72,30.77
298,2019-04-21T19:00:00+00:00,DK1,aFRR_UpActivated,22.5,429.65,57.55
299,2019-04-21T18:00:00+00:00,DK1,aFRR_DownActivated,15.2,244.05,32.69
300,2019-04-21T18:00:00+00:00,DK1,aFRR_UpActivated,8.9,496.76,66.54
301,2019-04-21T17:00:00+00:00,DK1,aFRR_DownActivated,11.6,245.17,32.84
302,2019-04-21T17:00:00+00:00,DK1,aFRR_UpActivated,18.4,445.1,59.62
303,2019-04-21T16:00:00+00:00,DK1,aFRR_DownActivated,38.6,212.47,28.46
304,2019-04-21T16:00:00+00:00,DK1,aFRR_UpActivated,0,412.4,55.24
305,2019-04-21T15:00:00+00:00,DK1,aFRR_DownActivated,11.6,169.54,22.71
306,2019-04-21T15:00:00+00:00,DK1,aFRR_UpActivated,15.1,369.47,49.49
307,2019-04-21T14:00:00+00:00,DK1,aFRR_DownActivated,13.6,161.41,21.62
308,2019-04-21T14:00:00+00:00,DK1,aFRR_UpActivated,15.5,361.34,48.4
309,2019-04-21T13:00:00+00:00,DK1,aFRR_DownActivated,12.6,147.59,19.77
310,2019-04-21T13:00:00+00:00,DK1,aFRR_UpActivated,1,347.52,46.55
311,2019-04-21T12:00:00+00:00,DK1,aFRR_DownActivated,3.3,179.25,24.01
312,2019-04-21T12:00:00+00:00,DK1,aFRR_UpActivated,8.9,379.18,50.79
313,2019-04-21T11:00:00+00:00,DK1,aFRR_DownActivated,0,196.2,26.28
314,2019-04-21T11:00:00+00:00,DK1,aFRR_UpActivated,40.5,396.12,53.06
315,2019-04-21T10:00:00+00:00,DK1,aFRR_DownActivated,0,204.48,27.39
316,2019-04-21T10:00:00+00:00,DK1,aFRR_UpActivated,25.3,404.41,54.17
317,2019-04-21T09:00:00+00:00,DK1,aFRR_DownActivated,0,207.54,27.8
318,2019-04-21T09:00:00+00:00,DK1,aFRR_UpActivated,42.9,407.47,54.58
319,2019-04-21T08:00:00+00:00,DK1,aFRR_DownActivated,0,209.41,28.05
